int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
13,Random,Back N Fro,Dnyamic,10,10,0,3,5,5000,0.5,0.07522,12.4
16,Random,Back N Fro,Dnyamic,10,20,0,3,5,5000,0.5,0.07116,6
19,Random,Back N Fro,Dnyamic,10,30,0,3,5,5000,0.5,0.111299999999999,6.16666666666667
22,Random,Back N Fro,Dnyamic,10,40,0,3,5,5000,0.5,0.130319999999999,5.4
85,Random,Back N Fro,Dnyamic,20,10,0,3,5,5000,0.5,0.02726,4.5
88,Random,Back N Fro,Dnyamic,20,20,0,3,5,5000,0.5,0.06266,5.15
91,Random,Back N Fro,Dnyamic,20,30,0,3,5,5000,0.5,0.08133,4.5
94,Random,Back N Fro,Dnyamic,20,40,0,3,5,5000,0.5,0.08959,3.725
157,Random,Back N Fro,Dnyamic,30,10,0,3,5,5000,0.5,0.041,6.7
160,Random,Back N Fro,Dnyamic,30,20,0,3,5,5000,0.5,0.024966666666667,2
163,Random,Back N Fro,Dnyamic,30,30,0,3,5,5000,0.5,0.0368,2
166,Random,Back N Fro,Dnyamic,30,40,0,3,5,5000,0.5,0.063566666666666,2.675
229,Random,Back N Fro,Dnyamic,10,10,0,3,8,5000,0.5,0.411599999999998,77.1
232,Random,Back N Fro,Dnyamic,10,20,0,3,8,5000,0.5,0.197199999999999,18.45
235,Random,Back N Fro,Dnyamic,10,30,0,3,8,5000,0.5,0.281579999999998,17.6
238,Random,Back N Fro,Dnyamic,10,40,0,3,8,5000,0.5,0.265099999999998,12.4
301,Random,Back N Fro,Dnyamic,20,10,0,3,8,5000,0.5,0.312379999999998,59.3
304,Random,Back N Fro,Dnyamic,20,20,0,3,8,5000,0.5,0.216499999999999,20.25
307,Random,Back N Fro,Dnyamic,20,30,0,3,8,5000,0.5,0.131709999999999,8.23333333333333
310,Random,Back N Fro,Dnyamic,20,40,0,3,8,5000,0.5,0.141009999999999,6.575
373,Random,Back N Fro,Dnyamic,30,10,0,3,8,5000,0.5,0.063666666666666,11.8
376,Random,Back N Fro,Dnyamic,30,20,0,3,8,5000,0.5,0.0524,4.9
379,Random,Back N Fro,Dnyamic,30,30,0,3,8,5000,0.5,0.059733333333333,3.7
382,Random,Back N Fro,Dnyamic,30,40,0,3,8,5000,0.5,0.116119999999999,5.475
445,Random,Back N Fro,Dnyamic,10,10,0,5,5,5000,0.5,0.137299999999999,25.6
448,Random,Back N Fro,Dnyamic,10,20,0,5,5,5000,0.5,0.163799999999999,15.35
451,Random,Back N Fro,Dnyamic,10,30,0,5,5,5000,0.5,0.184779999999999,12.3666666666667
454,Random,Back N Fro,Dnyamic,10,40,0,5,5,5000,0.5,0.261399999999998,12.225
517,Random,Back N Fro,Dnyamic,20,10,0,5,5,5000,0.5,0.166349999999999,31.1
520,Random,Back N Fro,Dnyamic,20,20,0,5,5,5000,0.5,0.08696,8.3
523,Random,Back N Fro,Dnyamic,20,30,0,5,5,5000,0.5,0.143759999999999,8.96666666666667
526,Random,Back N Fro,Dnyamic,20,40,0,5,5,5000,0.5,0.137699999999999,6.425
589,Random,Back N Fro,Dnyamic,30,10,0,5,5,5000,0.5,0.102299999999999,19
592,Random,Back N Fro,Dnyamic,30,20,0,5,5,5000,0.5,0.08826,8.35
595,Random,Back N Fro,Dnyamic,30,30,0,5,5,5000,0.5,0.136599999999999,8.5
598,Random,Back N Fro,Dnyamic,30,40,0,5,5,5000,0.5,0.118033333333333,5.5
661,Random,Back N Fro,Dnyamic,10,10,0,5,8,5000,0.5,0.245139999999997,59.9
664,Random,Back N Fro,Dnyamic,10,20,0,5,8,5000,0.5,0.342099999999997,38.85
667,Random,Back N Fro,Dnyamic,10,30,0,5,8,5000,0.5,0.354239999999997,26.8333333333333
670,Random,Back N Fro,Dnyamic,10,40,0,5,8,5000,0.5,0.957259999999992,60.6
733,Random,Back N Fro,Dnyamic,20,10,0,5,8,5000,0.5,0.110049999999999,24.9
736,Random,Back N Fro,Dnyamic,20,20,0,5,8,5000,0.5,0.246529999999998,28
739,Random,Back N Fro,Dnyamic,20,30,0,5,8,5000,0.5,0.338809999999997,25.6333333333333
