int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
12,Random,Back N Fro,Static,10,10,0,3,5,5000,0.5,0.155099999999999,25.7
15,Random,Back N Fro,Static,10,20,0,3,5,5000,0.5,0.178599999999999,15.55
18,Random,Back N Fro,Static,10,30,0,3,5,5000,0.5,0.188319999999999,10.9
21,Random,Back N Fro,Static,10,40,0,3,5,5000,0.5,0.347399999999998,14.45
84,Random,Back N Fro,Static,20,10,0,3,5,5000,0.5,0.1208,20
87,Random,Back N Fro,Static,20,20,0,3,5,5000,0.5,0.119529999999999,10.35
90,Random,Back N Fro,Static,20,30,0,3,5,5000,0.5,0.205959999999999,11.4
93,Random,Back N Fro,Static,20,40,0,3,5,5000,0.5,0.10947,4.8
156,Random,Back N Fro,Static,30,10,0,3,5,5000,0.5,0.054806666666667,9
159,Random,Back N Fro,Static,30,20,0,3,5,5000,0.5,0.097306666666666,8.05
162,Random,Back N Fro,Static,30,30,0,3,5,5000,0.5,0.063073333333333,3.46666666666667
165,Random,Back N Fro,Static,30,40,0,3,5,5000,0.5,0.057853333333333,2.425
228,Random,Back N Fro,Static,10,10,0,3,8,5000,0.5,0.418099999999997,78.3
231,Random,Back N Fro,Static,10,20,0,3,8,5000,0.5,0.283799999999998,26.55
234,Random,Back N Fro,Static,10,30,0,3,8,5000,0.5,0.388899999999997,25.1333333333333
237,Random,Back N Fro,Static,10,40,0,3,8,5000,0.5,0.442599999999997,20.75
300,Random,Back N Fro,Static,20,10,0,3,8,5000,0.5,0.204499999999999,38.2
303,Random,Back N Fro,Static,20,20,0,3,8,5000,0.5,0.145399999999999,13.65
306,Random,Back N Fro,Static,20,30,0,3,8,5000,0.5,0.250799999999998,15.6666666666667
309,Random,Back N Fro,Static,20,40,0,3,8,5000,0.5,0.354059999999998,16.575
372,Random,Back N Fro,Static,30,10,0,3,8,5000,0.5,0.185746666666665,36.1
375,Random,Back N Fro,Static,30,20,0,3,8,5000,0.5,0.123846666666666,12.15
378,Random,Back N Fro,Static,30,30,0,3,8,5000,0.5,0.0854,5.3
381,Random,Back N Fro,Static,30,40,0,3,8,5000,0.5,0.178433333333332,8.5
444,Random,Back N Fro,Static,10,10,0,5,5,5000,0.5,0.593999999999996,111.3
447,Random,Back N Fro,Static,10,20,0,5,5,5000,0.5,0.245299999999998,22.95
450,Random,Back N Fro,Static,10,30,0,5,5,5000,0.5,0.463599999999997,28.9333333333333
453,Random,Back N Fro,Static,10,40,0,5,5,5000,0.5,0.490779999999997,24.4
516,Random,Back N Fro,Static,20,10,0,5,5,5000,0.5,0.113149999999999,21.2
519,Random,Back N Fro,Static,20,20,0,5,5,5000,0.5,0.187079999999999,17.85
522,Random,Back N Fro,Static,20,30,0,5,5,5000,0.5,0.204319999999999,13.5
525,Random,Back N Fro,Static,20,40,0,5,5,5000,0.5,0.190429999999999,8.925
588,Random,Back N Fro,Static,30,10,0,5,5,5000,0.5,0.130646666666666,25.5
591,Random,Back N Fro,Static,30,20,0,5,5,5000,0.5,0.155733333333333,14.55
594,Random,Back N Fro,Static,30,30,0,5,5,5000,0.5,0.354133333333331,22.1
597,Random,Back N Fro,Static,30,40,0,5,5,5000,0.5,0.254966666666665,11.925
660,Random,Back N Fro,Static,10,10,0,5,8,5000,0.5,0.766699999999993,174.2
663,Random,Back N Fro,Static,10,20,0,5,8,5000,0.5,0.592079999999995,67.3
666,Random,Back N Fro,Static,10,30,0,5,8,5000,0.5,0.641299999999994,48.5666666666667
669,Random,Back N Fro,Static,10,40,0,5,8,5000,0.5,0.614699999999994,35.8
732,Random,Back N Fro,Static,20,10,0,5,8,5000,0.5,0.522889999999994,134.7
