int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
49,Sourced,Back N Fro,Dnyamic,10,10,1,3,5,5000,0.5,1.001,83.6666666666667
52,Sourced,Back N Fro,Dnyamic,10,20,3,3,5,5000,0.5,1.001,85.2352941176471
55,Sourced,Back N Fro,Dnyamic,10,30,4,3,5,5000,0.5,1.001,52.5384615384615
58,Sourced,Back N Fro,Dnyamic,10,40,7,3,5,5000,0.5,1.001,50.2727272727273
121,Sourced,Back N Fro,Dnyamic,20,10,1,3,5,5000,0.5,1.001,174.444444444444
124,Sourced,Back N Fro,Dnyamic,20,20,2,3,5,5000,0.5,1.001,87.5555555555556
127,Sourced,Back N Fro,Dnyamic,20,30,2,3,5,5000,0.5,1.001,52.5357142857143
130,Sourced,Back N Fro,Dnyamic,20,40,1,3,5,5000,0.5,1.001,41.4871794871795
193,Sourced,Back N Fro,Dnyamic,30,10,1,3,5,5000,0.5,1.001,150.111111111111
196,Sourced,Back N Fro,Dnyamic,30,20,4,3,5,5000,0.5,1.001,88.125
199,Sourced,Back N Fro,Dnyamic,30,30,3,3,5,5000,0.5,1.001,51.1111111111111
202,Sourced,Back N Fro,Dnyamic,30,40,3,3,5,5000,0.5,1.001,43.7567567567568
265,Sourced,Back N Fro,Dnyamic,10,10,5,3,8,5000,0.5,1.0008,251.4
268,Sourced,Back N Fro,Dnyamic,10,20,6,3,8,5000,0.5,1.0008,66.2142857142857
271,Sourced,Back N Fro,Dnyamic,10,30,14,3,8,5000,0.5,1.0008,107
274,Sourced,Back N Fro,Dnyamic,10,40,17,3,8,5000,0.5,1.0008,80.7391304347826
337,Sourced,Back N Fro,Dnyamic,20,10,7,3,8,5000,0.5,1.0008,592.666666666667
340,Sourced,Back N Fro,Dnyamic,20,20,10,3,8,5000,0.5,1.0008,168.7
343,Sourced,Back N Fro,Dnyamic,20,30,12,3,8,5000,0.5,1.0008,90.8333333333333
346,Sourced,Back N Fro,Dnyamic,20,40,15,3,8,5000,0.5,1.0008,69.6
409,Sourced,Back N Fro,Dnyamic,30,10,5,3,8,5000,0.5,1.0008,239.8
412,Sourced,Back N Fro,Dnyamic,30,20,6,3,8,5000,0.5,1.0008,124.357142857143
415,Sourced,Back N Fro,Dnyamic,30,30,8,3,8,5000,0.5,1.0008,70.3636363636364
418,Sourced,Back N Fro,Dnyamic,30,40,20,3,8,5000,0.5,1.0008,88.9
481,Sourced,Back N Fro,Dnyamic,10,10,5,5,5,5000,0.5,1.0008,79.2
484,Sourced,Back N Fro,Dnyamic,10,20,5,5,5,5000,0.5,1.0008,97.4666666666667
487,Sourced,Back N Fro,Dnyamic,10,30,10,5,5,5000,0.5,1.0008,78.9
490,Sourced,Back N Fro,Dnyamic,10,40,20,5,5,5000,0.5,1.0008,90.55
553,Sourced,Back N Fro,Dnyamic,20,10,1,5,5,5000,0.5,1.0008,201.777777777778
556,Sourced,Back N Fro,Dnyamic,20,20,8,5,5,5000,0.5,1.0008,140.916666666667
559,Sourced,Back N Fro,Dnyamic,20,30,19,5,5,5000,0.5,1.0008,115.454545454545
562,Sourced,Back N Fro,Dnyamic,20,40,18,5,5,5000,0.5,1.0008,80.9545454545455
625,Sourced,Back N Fro,Dnyamic,30,10,3,5,5,5000,0.5,1.0008,254.285714285714
628,Sourced,Back N Fro,Dnyamic,30,20,10,5,5,5000,0.5,1.0008,187.5
631,Sourced,Back N Fro,Dnyamic,30,30,11,5,5,5000,0.5,1.0008,82
634,Sourced,Back N Fro,Dnyamic,30,40,22,5,5,5000,0.5,1.0008,87.5
697,Sourced,Back N Fro,Dnyamic,10,10,5,5,8,5000,0.5,1.00099999999999,421.4
700,Sourced,Back N Fro,Dnyamic,10,20,16,5,8,5000,0.5,1.00099999999999,514.25
703,Sourced,Back N Fro,Dnyamic,10,30,23,5,8,5000,0.5,1.00099999999999,310.714285714286
706,Sourced,Back N Fro,Dnyamic,10,40,29,5,8,5000,0.5,1.00099999999999,154.454545454545
769,Sourced,Back N Fro,Dnyamic,20,10,8,5,8,5000,0.5,1.00099999999999,263.5
772,Sourced,Back N Fro,Dnyamic,20,20,14,5,8,5000,0.5,1.00099999999999,350.666666666667
775,Sourced,Back N Fro,Dnyamic,20,30,21,5,8,5000,0.5,1.00099999999999,198.555555555556
778,Sourced,Back N Fro,Dnyamic,20,40,31,5,8,5000,0.5,1.00099999999999,229.111111111111
841,Sourced,Back N Fro,Dnyamic,30,10,8,5,8,5000,0.5,1.00099999999999,274
844,Sourced,Back N Fro,Dnyamic,30,20,14,5,8,5000,0.5,1.00099999999999,215.5
847,Sourced,Back N Fro,Dnyamic,30,30,17,5,8,5000,0.5,1.00099999999999,133.230769230769
850,Sourced,Back N Fro,Dnyamic,30,40,25,5,8,5000,0.5,1.00099999999999,142.666666666667
37,Sourced,Firefly Algorithm,Dnyamic,10,10,0,3,5,5000,0.5,0.24248,26.4
40,Sourced,Firefly Algorithm,Dnyamic,10,20,0,3,5,5000,0.5,0.90468,49.25
43,Sourced,Firefly Algorithm,Dnyamic,10,30,0,3,5,5000,0.5,0.68956,25.2333333333333
46,Sourced,Firefly Algorithm,Dnyamic,10,40,0,3,5,5000,0.5,0.90348,24.7
109,Sourced,Firefly Algorithm,Dnyamic,20,10,0,3,5,5000,0.5,0.40825,44.5
112,Sourced,Firefly Algorithm,Dnyamic,20,20,0,3,5,5000,0.5,0.29862,16.25
115,Sourced,Firefly Algorithm,Dnyamic,20,30,0,3,5,5000,0.5,0.41749,15.2
118,Sourced,Firefly Algorithm,Dnyamic,20,40,0,3,5,5000,0.5,0.30175,8.2
181,Sourced,Firefly Algorithm,Dnyamic,30,10,0,3,5,5000,0.5,0.211273333333333,22.9
184,Sourced,Firefly Algorithm,Dnyamic,30,20,0,3,5,5000,0.5,0.120173333333333,6.55
187,Sourced,Firefly Algorithm,Dnyamic,30,30,0,3,5,5000,0.5,0.475673333333333,17.3333333333333
190,Sourced,Firefly Algorithm,Dnyamic,30,40,0,3,5,5000,0.5,0.287966666666667,7.85
253,Sourced,Firefly Algorithm,Dnyamic,10,10,3,3,8,5000,0.5,1.0004,92.7142857142857
256,Sourced,Firefly Algorithm,Dnyamic,10,20,2,3,8,5000,0.5,1.00024,47.3333333333333
259,Sourced,Firefly Algorithm,Dnyamic,10,30,3,3,8,5000,0.5,1.00072,40.2592592592593
262,Sourced,Firefly Algorithm,Dnyamic,10,40,5,3,8,5000,0.5,1.00008,28.7428571428571
325,Sourced,Firefly Algorithm,Dnyamic,20,10,0,3,8,5000,0.5,0.22048,24.2
328,Sourced,Firefly Algorithm,Dnyamic,20,20,0,3,8,5000,0.5,0.76794,42.15
331,Sourced,Firefly Algorithm,Dnyamic,20,30,0,3,8,5000,0.5,0.91307,33.3
334,Sourced,Firefly Algorithm,Dnyamic,20,40,2,3,8,5000,0.5,1.00085,18.8947368421053
397,Sourced,Firefly Algorithm,Dnyamic,30,10,0,3,8,5000,0.5,0.303726666666667,33.5
400,Sourced,Firefly Algorithm,Dnyamic,30,20,0,3,8,5000,0.5,0.797693333333333,43.5
403,Sourced,Firefly Algorithm,Dnyamic,30,30,0,3,8,5000,0.5,0.87026,31.6333333333333
406,Sourced,Firefly Algorithm,Dnyamic,30,40,0,3,8,5000,0.5,0.483953333333333,13.225
469,Sourced,Firefly Algorithm,Dnyamic,10,10,1,5,5,5000,0.5,1.00092,102.666666666667
472,Sourced,Firefly Algorithm,Dnyamic,10,20,5,5,5,5000,0.5,1.00012,61.0666666666667
475,Sourced,Firefly Algorithm,Dnyamic,10,30,9,5,5,5000,0.5,1.00012,27.8095238095238
478,Sourced,Firefly Algorithm,Dnyamic,10,40,11,5,5,5000,0.5,1.00036,36.5862068965517
541,Sourced,Firefly Algorithm,Dnyamic,20,10,2,5,5,5000,0.5,1.00075,77.125
544,Sourced,Firefly Algorithm,Dnyamic,20,20,0,5,5,5000,0.5,0.64161,35.15
547,Sourced,Firefly Algorithm,Dnyamic,20,30,1,5,5,5000,0.5,1.00078,25.4137931034483
550,Sourced,Firefly Algorithm,Dnyamic,20,40,0,5,5,5000,0.5,0.72195,19.65
613,Sourced,Firefly Algorithm,Dnyamic,30,10,0,5,5,5000,0.5,0.330433333333333,35.9
616,Sourced,Firefly Algorithm,Dnyamic,30,20,0,5,5,5000,0.5,0.526206666666667,28.65
619,Sourced,Firefly Algorithm,Dnyamic,30,30,0,5,5,5000,0.5,0.543873333333333,19.7333333333333
622,Sourced,Firefly Algorithm,Dnyamic,30,40,1,5,5,5000,0.5,1.00075333333333,23.5128205128205
685,Sourced,Firefly Algorithm,Dnyamic,10,10,4,5,8,5000,0.5,1.0006,125.833333333333
688,Sourced,Firefly Algorithm,Dnyamic,10,20,8,5,8,5000,0.5,1.0005,88.75
691,Sourced,Firefly Algorithm,Dnyamic,10,30,16,5,8,5000,0.5,1.0005,66.2857142857143
694,Sourced,Firefly Algorithm,Dnyamic,10,40,15,5,8,5000,0.5,1.00092,41.16
757,Sourced,Firefly Algorithm,Dnyamic,20,10,3,5,8,5000,0.5,1.00023,88.2857142857143
760,Sourced,Firefly Algorithm,Dnyamic,20,20,5,5,8,5000,0.5,1.00059,70.8
763,Sourced,Firefly Algorithm,Dnyamic,20,30,10,5,8,5000,0.5,1.00048,52.45
766,Sourced,Firefly Algorithm,Dnyamic,20,40,12,5,8,5000,0.5,1.0005,30.9285714285714
