int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
50,Sourced,Back N Fro,Sourced,10,10,1,3,5,5000,0.5,1.001,139.444444444444
53,Sourced,Back N Fro,Sourced,10,20,5,3,5,5000,0.5,1.001,82.2666666666667
56,Sourced,Back N Fro,Sourced,10,30,2,3,5,5000,0.5,1.001,37.3214285714286
59,Sourced,Back N Fro,Sourced,10,40,1,3,5,5000,0.5,1.001,41.3333333333333
122,Sourced,Back N Fro,Sourced,20,10,1,3,5,5000,0.5,1.001,180.555555555556
125,Sourced,Back N Fro,Sourced,20,20,1,3,5,5000,0.5,1.001,55
128,Sourced,Back N Fro,Sourced,20,30,5,3,5,5000,0.5,1.001,64.76
131,Sourced,Back N Fro,Sourced,20,40,2,3,5,5000,0.5,1.001,42.5789473684211
194,Sourced,Back N Fro,Sourced,30,10,1,3,5,5000,0.5,1.001,133.777777777778
197,Sourced,Back N Fro,Sourced,30,20,3,3,5,5000,0.5,1.001,77.9411764705882
200,Sourced,Back N Fro,Sourced,30,30,3,3,5,5000,0.5,1.001,56.5925925925926
203,Sourced,Back N Fro,Sourced,30,40,6,3,5,5000,0.5,1.001,46.7352941176471
266,Sourced,Back N Fro,Sourced,10,10,3,3,8,5000,0.5,1.0008,0
269,Sourced,Back N Fro,Sourced,10,20,4,3,8,5000,0.5,1.0008,52.875
272,Sourced,Back N Fro,Sourced,10,30,8,3,8,5000,0.5,1.0008,2.95454545454545
275,Sourced,Back N Fro,Sourced,10,40,12,3,8,5000,0.5,1.0008,44.9285714285714
338,Sourced,Back N Fro,Sourced,20,10,4,3,8,5000,0.5,1.0008,103.666666666667
341,Sourced,Back N Fro,Sourced,20,20,4,3,8,5000,0.5,1.0008,41.25
344,Sourced,Back N Fro,Sourced,20,30,7,3,8,5000,0.5,1.0008,27.0434782608696
347,Sourced,Back N Fro,Sourced,20,40,14,3,8,5000,0.5,1.0008,2.03846153846154
410,Sourced,Back N Fro,Sourced,30,10,3,3,8,5000,0.5,1.0008,49.5714285714286
413,Sourced,Back N Fro,Sourced,30,20,6,3,8,5000,0.5,1.0008,24
416,Sourced,Back N Fro,Sourced,30,30,6,3,8,5000,0.5,1.0008,72.625
419,Sourced,Back N Fro,Sourced,30,40,9,3,8,5000,0.5,1.0008,20.0967741935484
482,Sourced,Back N Fro,Sourced,10,10,3,5,5,5000,0.5,1.0008,222
485,Sourced,Back N Fro,Sourced,10,20,5,5,5,5000,0.5,1.0008,45.4
488,Sourced,Back N Fro,Sourced,10,30,6,5,5,5000,0.5,1.0008,28.2083333333333
491,Sourced,Back N Fro,Sourced,10,40,10,5,5,5000,0.5,1.0008,51.1333333333333
554,Sourced,Back N Fro,Sourced,20,10,2,5,5,5000,0.5,1.0008,197.125
557,Sourced,Back N Fro,Sourced,20,20,3,5,5,5000,0.5,1.0008,41.2352941176471
560,Sourced,Back N Fro,Sourced,20,30,5,5,5,5000,0.5,1.0008,27.04
