int(self),DRONE_ORIGIN_MODE,DRONE_ALGO_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
48,Sourced,Back N Fro,Static,10,10,7,3,5,5000,0.5,1.001,190.333333333333
51,Sourced,Back N Fro,Static,10,20,9,3,5,5000,0.5,1.001,68.4545454545455
54,Sourced,Back N Fro,Static,10,30,12,3,5,5000,0.5,1.001,91.7777777777778
57,Sourced,Back N Fro,Static,10,40,22,3,5,5000,0.5,1.001,89.4444444444444
120,Sourced,Back N Fro,Static,20,10,2,3,5,5000,0.5,1.001,95.875
123,Sourced,Back N Fro,Static,20,20,10,3,5,5000,0.5,1.001,158.2
126,Sourced,Back N Fro,Static,20,30,19,3,5,5000,0.5,1.001,148.909090909091
129,Sourced,Back N Fro,Static,20,40,11,3,5,5000,0.5,1.001,54.7931034482759
192,Sourced,Back N Fro,Static,30,10,4,3,5,5000,0.5,1.001,264.833333333333
195,Sourced,Back N Fro,Static,30,20,9,3,5,5000,0.5,1.001,143.818181818182
198,Sourced,Back N Fro,Static,30,30,14,3,5,5000,0.5,1.001,48.375
201,Sourced,Back N Fro,Static,30,40,18,3,5,5000,0.5,1.001,75.4090909090909
264,Sourced,Back N Fro,Static,10,10,8,3,8,5000,0.5,1.0008,820.5
267,Sourced,Back N Fro,Static,10,20,6,3,8,5000,0.5,1.0008,110.357142857143
270,Sourced,Back N Fro,Static,10,30,14,3,8,5000,0.5,1.0008,87.9375
273,Sourced,Back N Fro,Static,10,40,21,3,8,5000,0.5,1.0008,84.1578947368421
336,Sourced,Back N Fro,Static,20,10,3,3,8,5000,0.5,1.0008,230.142857142857
339,Sourced,Back N Fro,Static,20,20,9,3,8,5000,0.5,1.0008,145.909090909091
342,Sourced,Back N Fro,Static,20,30,18,3,8,5000,0.5,1.0008,133.75
345,Sourced,Back N Fro,Static,20,40,22,3,8,5000,0.5,1.0008,88.8333333333333
408,Sourced,Back N Fro,Static,30,10,9,3,8,5000,0.5,1.0008,963
411,Sourced,Back N Fro,Static,30,20,11,3,8,5000,0.5,1.0008,174.333333333333
414,Sourced,Back N Fro,Static,30,30,19,3,8,5000,0.5,1.0008,146.454545454545
417,Sourced,Back N Fro,Static,30,40,19,3,8,5000,0.5,1.0008,77.8571428571429
480,Sourced,Back N Fro,Static,10,10,5,5,5,5000,0.5,1.0008,246.6
483,Sourced,Back N Fro,Static,10,20,11,5,5,5000,0.5,1.0008,194.333333333333
486,Sourced,Back N Fro,Static,10,30,18,5,5,5000,0.5,1.0008,155.75
489,Sourced,Back N Fro,Static,10,40,19,5,5,5000,0.5,1.0008,73.8571428571429
552,Sourced,Back N Fro,Static,20,10,5,5,5,5000,0.5,1.0008,250.2
555,Sourced,Back N Fro,Static,20,20,7,5,5,5000,0.5,1.0008,127.615384615385
558,Sourced,Back N Fro,Static,20,30,11,5,5,5000,0.5,1.0008,97.1052631578947
561,Sourced,Back N Fro,Static,20,40,19,5,5,5000,0.5,1.0008,83.5714285714286
624,Sourced,Back N Fro,Static,30,10,7,5,5,5000,0.5,1.0008,569
627,Sourced,Back N Fro,Static,30,20,13,5,5,5000,0.5,1.0008,240.428571428571
630,Sourced,Back N Fro,Static,30,30,13,5,5,5000,0.5,1.0008,87.7058823529412
633,Sourced,Back N Fro,Static,30,40,15,5,5,5000,0.5,1.0008,70.68
696,Sourced,Back N Fro,Static,10,10,8,5,8,5000,0.5,1.00099999999999,383.5
699,Sourced,Back N Fro,Static,10,20,10,5,8,5000,0.5,1.00099999999999,220.7
702,Sourced,Back N Fro,Static,10,30,25,5,8,5000,0.5,1.00099999999999,305.4
705,Sourced,Back N Fro,Static,10,40,30,5,8,5000,0.5,1.00099999999999,214.2
768,Sourced,Back N Fro,Static,20,10,6,5,8,5000,0.5,1.00099999999999,346.75
771,Sourced,Back N Fro,Static,20,20,16,5,8,5000,0.5,1.00099999999999,521.75
774,Sourced,Back N Fro,Static,20,30,21,5,8,5000,0.5,1.00099999999999,237.444444444444
777,Sourced,Back N Fro,Static,20,40,29,5,8,5000,0.5,1.00099999999999,165.636363636364
840,Sourced,Back N Fro,Static,30,10,9,5,8,5000,0.5,1.00099999999999,1007
843,Sourced,Back N Fro,Static,30,20,16,5,8,5000,0.5,1.00099999999999,401.75
846,Sourced,Back N Fro,Static,30,30,25,5,8,5000,0.5,1.00099999999999,375.4
849,Sourced,Back N Fro,Static,30,40,27,5,8,5000,0.5,1.00099999999999,171.307692307692
36,Sourced,Firefly Algorithm,Static,10,10,0,3,5,5000,0.5,0.68108,74.2
39,Sourced,Firefly Algorithm,Static,10,20,0,3,5,5000,0.5,0.86236,47.2
42,Sourced,Firefly Algorithm,Static,10,30,0,3,5,5000,0.5,0.82498,29.9
45,Sourced,Firefly Algorithm,Static,10,40,0,3,5,5000,0.5,0.65908,17.925
108,Sourced,Firefly Algorithm,Static,20,10,0,3,5,5000,0.5,0.26908,29.2
111,Sourced,Firefly Algorithm,Static,20,20,0,3,5,5000,0.5,0.41151,22.55
114,Sourced,Firefly Algorithm,Static,20,30,0,3,5,5000,0.5,0.41693,15.2
117,Sourced,Firefly Algorithm,Static,20,40,0,3,5,5000,0.5,0.48015,13.075
180,Sourced,Firefly Algorithm,Static,30,10,0,3,5,5000,0.5,0.204493333333333,22.4
183,Sourced,Firefly Algorithm,Static,30,20,0,3,5,5000,0.5,0.30694,16.7
186,Sourced,Firefly Algorithm,Static,30,30,0,3,5,5000,0.5,0.290466666666667,10.5666666666667
189,Sourced,Firefly Algorithm,Static,30,40,0,3,5,5000,0.5,0.335886666666667,9.15
252,Sourced,Firefly Algorithm,Static,10,10,3,3,8,5000,0.5,1.0006,137.142857142857
255,Sourced,Firefly Algorithm,Static,10,20,6,3,8,5000,0.5,1.00048,72.4285714285714
258,Sourced,Firefly Algorithm,Static,10,30,10,3,8,5000,0.5,1.00032,40.7
261,Sourced,Firefly Algorithm,Static,10,40,15,3,8,5000,0.5,1.00072,38.32
324,Sourced,Firefly Algorithm,Static,20,10,0,3,8,5000,0.5,0.78697,86.1
327,Sourced,Firefly Algorithm,Static,20,20,0,3,8,5000,0.5,0.95678,52.15
330,Sourced,Firefly Algorithm,Static,20,30,1,3,8,5000,0.5,1.00046,35.0689655172414
333,Sourced,Firefly Algorithm,Static,20,40,3,3,8,5000,0.5,1.0009,26.972972972973
396,Sourced,Firefly Algorithm,Static,30,10,0,3,8,5000,0.5,0.789013333333333,86.1
399,Sourced,Firefly Algorithm,Static,30,20,0,3,8,5000,0.5,0.853153333333334,46.45
402,Sourced,Firefly Algorithm,Static,30,30,0,3,8,5000,0.5,0.664626666666667,24.2
