int(self),DRONE_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
0,Firefly Algorithm,Static,1,1,0,2,2,1000,0.5,0.4390000000000004,125.0
1,Firefly Algorithm,Dnyamic,1,1,0,2,2,1000,0.5,0.13100000000000012,41.0
2,Firefly Algorithm,Sourced,1,1,0,2,2,1000,0.5,0.16400000000000015,42.0
3,Firefly Algorithm,Static,1,6,0,2,2,1000,0.5,0.6110000000000005,27.5
4,Firefly Algorithm,Dnyamic,1,6,0,2,2,1000,0.5,0.3150000000000003,17.5
5,Firefly Algorithm,Sourced,1,6,0,2,2,1000,0.5,0.4800000000000004,22.666666666666668
6,Firefly Algorithm,Static,1,11,0,2,2,1000,0.5,0.6050000000000005,14.636363636363637
7,Firefly Algorithm,Dnyamic,1,11,0,2,2,1000,0.5,0.7350000000000007,20.818181818181817
8,Firefly Algorithm,Sourced,1,11,0,2,2,1000,0.5,0.3370000000000003,10.454545454545455
9,Firefly Algorithm,Static,1,16,0,2,2,1000,0.5,0.5160000000000005,9.125
10,Firefly Algorithm,Dnyamic,1,16,0,2,2,1000,0.5,0.40400000000000036,8.25
11,Firefly Algorithm,Sourced,1,16,0,2,2,1000,0.5,0.5030000000000004,9.375
12,Firefly Algorithm,Static,1,21,0,2,2,1000,0.5,0.5860000000000005,7.619047619047619
13,Firefly Algorithm,Dnyamic,1,21,0,2,2,1000,0.5,0.5470000000000005,7.380952380952381
14,Firefly Algorithm,Sourced,1,21,0,2,2,1000,0.5,0.41900000000000037,6.428571428571429
15,Firefly Algorithm,Static,1,26,0,2,2,1000,0.5,0.6720000000000006,6.923076923076923
16,Firefly Algorithm,Dnyamic,1,26,1,2,2,1000,0.5,1.0030000000000008,6.48
17,Firefly Algorithm,Sourced,1,26,0,2,2,1000,0.5,0.39400000000000035,4.5
18,Firefly Algorithm,Static,1,31,0,2,2,1000,0.5,0.7780000000000007,6.580645161290323
19,Firefly Algorithm,Dnyamic,1,31,0,2,2,1000,0.5,0.5270000000000005,4.870967741935484
20,Firefly Algorithm,Sourced,1,31,0,2,2,1000,0.5,0.8140000000000007,6.903225806451613
21,Firefly Algorithm,Static,1,36,0,2,2,1000,0.5,0.5670000000000005,4.416666666666667
22,Firefly Algorithm,Dnyamic,1,36,1,2,2,1000,0.5,1.004000000000001,5.714285714285714
23,Firefly Algorithm,Sourced,1,36,0,2,2,1000,0.5,0.7440000000000007,5.944444444444445
24,Firefly Algorithm,Static,1,41,0,2,2,1000,0.5,0.5510000000000005,3.731707317073171
25,Firefly Algorithm,Dnyamic,1,41,0,2,2,1000,0.5,0.5020000000000004,3.6097560975609757
26,Firefly Algorithm,Sourced,1,41,0,2,2,1000,0.5,0.9330000000000008,6.439024390243903
27,Firefly Algorithm,Static,1,46,0,2,2,1000,0.5,0.7840000000000007,4.521739130434782
28,Firefly Algorithm,Dnyamic,1,46,0,2,2,1000,0.5,0.7550000000000007,4.760869565217392
29,Firefly Algorithm,Sourced,1,46,0,2,2,1000,0.5,0.6940000000000006,4.434782608695652
30,Firefly Algorithm,Static,1,1,0,2,2,1000,1.0,0.4390000000000004,125.0
31,Firefly Algorithm,Dnyamic,1,1,0,2,2,1000,1.0,0.13100000000000012,41.0
32,Firefly Algorithm,Sourced,1,1,0,2,2,1000,1.0,0.16400000000000015,42.0
33,Firefly Algorithm,Static,1,6,0,2,2,1000,1.0,0.6110000000000005,27.5
34,Firefly Algorithm,Dnyamic,1,6,0,2,2,1000,1.0,0.3150000000000003,17.5
35,Firefly Algorithm,Sourced,1,6,0,2,2,1000,1.0,0.4800000000000004,22.666666666666668
36,Firefly Algorithm,Static,1,11,0,2,2,1000,1.0,0.6050000000000005,14.636363636363637
37,Firefly Algorithm,Dnyamic,1,11,0,2,2,1000,1.0,0.6460000000000006,16.90909090909091
38,Firefly Algorithm,Sourced,1,11,0,2,2,1000,1.0,0.3370000000000003,10.454545454545455
39,Firefly Algorithm,Static,1,16,0,2,2,1000,1.0,0.5160000000000005,9.125
40,Firefly Algorithm,Dnyamic,1,16,0,2,2,1000,1.0,0.40400000000000036,8.25
41,Firefly Algorithm,Sourced,1,16,0,2,2,1000,1.0,0.5030000000000004,9.375
42,Firefly Algorithm,Static,1,21,0,2,2,1000,1.0,0.6050000000000005,7.666666666666667
43,Firefly Algorithm,Dnyamic,1,21,0,2,2,1000,1.0,0.7310000000000006,10.428571428571429
44,Firefly Algorithm,Sourced,1,21,0,2,2,1000,1.0,0.3300000000000003,5.0476190476190474
45,Firefly Algorithm,Static,1,26,0,2,2,1000,1.0,0.6720000000000006,6.923076923076923
46,Firefly Algorithm,Dnyamic,1,26,0,2,2,1000,1.0,0.7300000000000006,7.6923076923076925
47,Firefly Algorithm,Sourced,1,26,0,2,2,1000,1.0,0.39400000000000035,4.5
48,Firefly Algorithm,Static,1,31,0,2,2,1000,1.0,0.7730000000000007,6.548387096774194
49,Firefly Algorithm,Dnyamic,1,31,0,2,2,1000,1.0,0.5270000000000005,4.870967741935484
50,Firefly Algorithm,Sourced,1,31,0,2,2,1000,1.0,0.5490000000000005,5.193548387096774
51,Firefly Algorithm,Static,1,36,0,2,2,1000,1.0,0.5670000000000005,4.416666666666667
52,Firefly Algorithm,Dnyamic,1,36,1,2,2,1000,1.0,1.0030000000000008,5.314285714285714
53,Firefly Algorithm,Sourced,1,36,0,2,2,1000,1.0,0.9940000000000008,7.75
54,Firefly Algorithm,Static,1,41,0,2,2,1000,1.0,0.5510000000000005,3.731707317073171
55,Firefly Algorithm,Dnyamic,1,41,0,2,2,1000,1.0,0.5020000000000004,3.6097560975609757
56,Firefly Algorithm,Sourced,1,41,0,2,2,1000,1.0,0.9120000000000008,6.926829268292683
57,Firefly Algorithm,Static,1,46,0,2,2,1000,1.0,0.7840000000000007,4.521739130434782
58,Firefly Algorithm,Dnyamic,1,46,0,2,2,1000,1.0,0.6530000000000006,4.195652173913044
59,Firefly Algorithm,Sourced,1,46,0,2,2,1000,1.0,0.6940000000000006,4.434782608695652
60,Firefly Algorithm,Static,1,1,0,2,2,1000,1.5,0.4390000000000004,125.0
61,Firefly Algorithm,Dnyamic,1,1,0,2,2,1000,1.5,0.13100000000000012,41.0
62,Firefly Algorithm,Sourced,1,1,0,2,2,1000,1.5,0.16400000000000015,42.0
